3.2|1|1|3.2|1|4.1|1|4.1|1|4.1|1|4.1|1|3.1|3.2|1|1|3.2|3.1|1|3.2|3.1|1|3.1|1|1|3.1|1|1|1|1|3.2|1|1|3.2|1|1|3.2|1|3.1|1|1|1|1|1|1|1|1|3.2|1|1|3.2
3.2|1|1|3.2|1|4.1|1|4.1|1|4.1|1|4.1|1|1|3.2|1|1|3.2|1|1|3.2|1|1|1|3.1|1|1|1|1|3.1|1|3.2|1|1|3.2|1|1|3.2|1|1|1|1|1|1|1|1|1.9|1|3.2|1|1|3.2
3.2|1|1|0.2|3.3|3.3|3.3|3.3|1.1|2.1|1|1|1|1|3.2|1|1|3.2|1|1|3.2|1|1|3.1|1|3.1|1|1|3.1|1|3.1|3.2|3.1|3.1|3.2|1|1|0.2|3.3|3.3|3.3|3.3|1.1|2.1|4|4|4|4|3.2|1|1|3.2
3.2|1|1|3.2|1|0.8|1|1|3.2|3.2|4.1|4.1|4.1|4.1|3.2|1|1|3.2|1|1|3.2|1|3.1|0.7|1|3.1|1|3.1|1|1|1|3.2|1|1|3.2|1|1|3.2|1|0.7|1|1|3.2
3.2|1|1|1|1|3.2|1|1|3.2|3.2|1|1|3.2|1|1|1|1|3.2|3.2|1|1|0.7|1|3.2|1|1|1|1|1|3.2|1|1|3.1|1|1|1|1|1|3.1|1|3.2|1|1|3.2|1|1|3.2|1|1|1|1|3.2
3.2|1|1|0.8|1|3.2|1|1|3.2|3.2|3.1|1|3.2|1|1|1|1|0.3|1.3|3.3|3.3|3.3|3.3|2.2|1|1|1|1|1|0.2|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|2.2|1|1|3.2|1|1|3.2|4|4|4|4|0.3|1.3|3.3|3.3|3.3|3.3|2.2|3.1|1|3.2
3.2|1|1|3.2|3.1|1|1|1|1|3.1|1|1|1|1|3.2|1|1|1|1|1|3.2|1|1|1|1|1|1|1|3.1|1|1|3.2|1|1|3.2|1|1|3.2|1|1.9|1|1|1|1|1|3.1|1|1|3.2|1|1|3.2
3.2|1|1|3.2|1|1|1|1|1|3.1|1|1|1|1|3.2|1|1|3.2|1|1|3.2|1|1|1|1|1|3.1|1|1|1|1|3.2|1|1|3.2|1|3.1|3.2|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|3.2|1|1|3.2
3.2|1|1|3.2|1|1|1|1|1|1|1|1|1|1|3.2|1|3.1|3.2|1|1|3.2|1|3.1|1|1|1|1|1|1|1|1|1|1|1|3.2|1|1|3.2|1|1|3.1|1|1|1|1|1|1|1|3.2|1|1|3.2
3.2|1|1|3.2|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|3.2|1|1|3.2|1|1|3.2|1|1|1|3.1|1|1|1|1|1|1|1|1|1|3.2|1|1|3.2|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|3.2|1|1|3.2
3.2|1|3.1|3.2|1|1|1|1|1|1|1|1|1|1|3.2|1|1|3.2|1|1|3.2|1|1|1|1|1|1|3.1|1|1|1|3.2|1|1|3.2|1|1|3.2|1|1|1|1|1|3.1|1|1|1|1|3.2|1|1|3.2
3.2|1|1|3.2|3.1|1|1|1|1|1|1|1|1|1|3.2|1|1|3.2|1|1|3.2|0.8|1|1|3.1|1|1|1|1|1|3.1|3.2|1|1|3.2|1|1|3.2|3.1|1|1|1|1|1|1|1|0.9|1|3.2|1|1|3.2
3.2|1|1|0.3|3.3|3.3|3.3|3.3|1|1|3.3|3.3|3.3|3.3|2.3|1|1|3.2|1|1|0.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|2.3|1|1|3.2|1|1|0.3|3.3|3.3|3.3|3.3|3.3|1.8|3.3|3.3|3.3|3.3|2.3|1|1|3.2
3.2|1|1|1|1|1|1|1|1|1|1|1|3.1|1|1|1|1|3.2|1|1|1|3.1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3.1|1|1|1|1|3.2
3.2|1|1|1|3.1|1|1|1|1|1|1|1|1|1|1|1|3.1|3.2|1|1|1|1|1|1|1|1|1|1|1|1|1|3.1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3.2
0.2|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|1.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|1.8|3.3|2.1|1|1|1|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|2.2
3.2|1|1|1|1|1|1|3.1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|1|1|1|3.2|1|1|1|1|3.1|1|1|1|3.1|1|1|1|1|3.1|1|3.1|1|1|1|1|3.1|1|3.1|3.2
3.2|1|1|1|1|1|1|1|1|1|0.8|1|1|1|1|1|0.9|1|1|1|1|1.9|1|4|1|1|1|3.2|1|1|1|1|1|1|3.1|3.1|1|1|3.1|1|1|1|1|1|3.1|1|3.1|1|1|3|1|3.2
3.2|1|1|1|1|1|1|1|1|1|1|1|1|3.1|1|1|1|1|1|1|1|1|1|4|1|1|1|3.2|1|1|1|3.1|3.1|1|1|1|1|3.1|1|1|3.1|3.1|1|1|1|1|3.1|1|1|1|3.1|3.2
0.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|1.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|2.3
